Time,X-position,Y-position,Total Track Time
1709507848.65379,-0.049817964434624,-75.0004043579102,18.7 S
1709507848.69978,-0.049817889928818,-75.0004043579102,
1709507848.75033,-0.049817837774754,-75.0004043579102,
1709507848.80071,-0.04981779679656,-75.0004043579102,
1709507848.84644,-0.049817759543657,-75.0004043579102,
1709507848.89094,-0.049817722290754,-75.0004043579102,
1709507848.94142,-0.049817685037851,-75.0004043579102,
1709507848.99248,-0.049817647784948,-75.0004043579102,
1709507849.05001,-0.049817610532045,-75.0004043579102,
1709507849.12694,-0.049817573279142,-75.0004043579102,
1709507849.20963,-0.049817536026239,-75.0004043579102,
1709507849.28235,-0.049817498773336,-75.0004043579102,
1709507849.34679,-0.049817461520433,-75.0004043579102,
1709507849.40252,-0.04981742426753,-75.0004043579102,
1709507849.47218,-0.049817398190498,-75.0004043579102,
1709507849.54023,-0.049817372113466,-75.0004043579102,
1709507849.60878,-0.049817364662886,-75.0004043579102,
1709507849.66944,-0.049818053841591,-75.0036544799805,
1709507849.73997,-0.049816485494375,-74.9980621337891,
1709507849.83123,-0.049814000725746,-74.9868545532227,
1709507849.8968,-0.049815148115158,-74.9737396240234,
1709507849.96115,-0.04981267079711,-74.9510269165039,
1709507850.03334,-0.049814570695162,-74.9204788208008,
1709507850.11313,-0.0498151704669,-74.8919372558594,
1709507850.18837,-0.04980681091547,-74.8601989746094,
1709507850.26392,-0.049802336841822,-74.8117294311524,
1709507850.34015,-0.049800150096416,-74.7526931762695,
1709507850.43078,-0.049797691404819,-74.6992721557617,
1709507850.51663,-0.04978022351861,-74.6458129882813,
1709507850.59257,-0.049783155322075,-74.5727615356445,
1709507850.66603,-0.049783390015364,-74.4837493896484,
1709507850.74058,-0.049785885959864,-74.4001541137695,
1709507850.79453,-0.049771942198277,-74.3210601806641,
1709507850.85476,-0.049785271286964,-74.2235946655273,
1709507850.92314,-0.049788638949394,-74.1053771972656,
1709507850.98137,-0.049801588058472,-73.9897766113281,
1709507851.0396,-0.049811877310276,-73.8829803466797,
1709507851.0956,-0.0498241558671,-73.762809753418,
1709507851.15876,-0.049861777573824,-73.6193161010742,
1709507851.22296,-0.049884118139744,-73.4738616943359,
1709507851.27706,-0.049912169575691,-73.3395156860352,
1709507851.34704,-0.049925558269024,-73.1979446411133,
1709507851.40736,-0.049958143383265,-73.031120300293,
1709507851.46308,-0.04998517036438,-72.853874206543,
1709507851.52083,-0.050032023340464,-72.6868362426758,
1709507851.58897,-0.050064351409674,-72.5189666748047,
1709507851.6486,-0.050120070576668,-72.3261184692383,
1709507851.71108,-0.050169784575701,-72.1145706176758,
1709507851.77571,-0.050236631184816,-71.9099426269531,
1709507851.83109,-0.050293728709221,-71.7116241455078,
1709507851.89163,-0.050427351146936,-71.4949951171875,
1709507851.95603,-0.050539694726467,-71.257682800293,
1709507852.0102,-0.050639614462852,-71.0243225097656,
1709507852.08119,-0.050740536302328,-70.8003921508789,
1709507852.1381,-0.050840277224779,-70.5628280639648,
1709507852.20409,-0.050956387072802,-70.2985458374023,
1709507852.26336,-0.051072929054499,-70.0264053344727,
1709507852.32424,-0.051201950758696,-69.7639083862305,
1709507852.38813,-0.051328744739294,-69.4968719482422,
1709507852.44762,-0.051468726247549,-69.2070083618164,
1709507852.50602,-0.051612515002489,-68.9077606201172,
1709507852.5609,-0.051784474402666,-68.6187362670898,
1709507852.62908,-0.051954660564661,-68.3295135498047,
1709507852.69015,-0.052128497511148,-68.0166397094727,
1709507852.75572,-0.052316103130579,-67.6836166381836,
1709507852.81042,-0.052516307681799,-67.3545684814453,
1709507852.87753,-0.052717763930559,-67.0335922241211,
1709507852.95043,-0.052909094840288,-66.6996688842773,
1709507853.00632,-0.053117603063583,-66.3434448242188,
1709507853.07254,-0.053333964198828,-65.9848480224609,
1709507853.13853,-0.053534541279078,-65.6351165771484,
1709507853.20213,-0.05374564230442,-65.274787902832,
1709507853.25333,-0.05397054925561,-64.8912811279297,
1709507853.32162,-0.054209645837545,-64.5041275024414,
1709507853.39047,-0.054438423365355,-64.1278839111328,
1709507853.4633,-0.054666690528393,-63.745532989502,
1709507853.52374,-0.054942943155766,-63.3374633789063,
1709507853.58617,-0.055215630680323,-62.9162292480469,
1709507853.64288,-0.055522121489048,-62.5042152404785,
1709507853.71035,-0.055829394608736,-62.0956230163574,
1709507853.77861,-0.05617169290781,-61.6679534912109,
1709507853.83803,-0.056518848985434,-61.2184982299805,
1709507853.90695,-0.056870430707932,-60.7678489685059,
1709507853.9822,-0.057166092097759,-60.3256187438965,
1709507854.04103,-0.057476211339235,-59.8768501281738,
1709507854.10502,-0.057839963585138,-59.4065246582031,
1709507854.16767,-0.058220006525517,-58.923095703125,
1709507854.22549,-0.058556295931339,-58.4442329406738,
1709507854.28857,-0.058861576020718,-57.9686508178711,
1709507854.35211,-0.059222437441349,-57.4792747497559,
1709507854.41694,-0.059627920389175,-56.9704895019531,
1709507854.47457,-0.060003682971001,-56.4579086303711,
1709507854.54182,-0.060350731015205,-55.9543075561524,
1709507854.59842,-0.06072111427784,-55.4566993713379,
1709507854.65603,-0.061156861484051,-54.9588775634766,
1709507854.72181,-0.061565339565277,-54.4592819213867,
1709507854.78804,-0.061887729912996,-53.9591789245606,
1709507854.84577,-0.062230531126261,-53.4600448608398,
1709507854.90932,-0.06265877187252,-52.9618339538574,
1709507854.97439,-0.063088439404964,-52.4635429382324,
1709507855.03655,-0.063427291810513,-51.9646034240723,
1709507855.09185,-0.063752911984921,-51.4652099609375,
1709507855.1628,-0.064170099794865,-50.9658889770508,
1709507855.22578,-0.064616344869137,-50.4669418334961,
1709507855.29148,-0.064977005124092,-49.9683876037598,
1709507855.35822,-0.065291106700897,-49.4697418212891,
1709507855.42231,-0.065687797963619,-48.9705314636231,
1709507855.481,-0.066144347190857,-48.4709663391113,
1709507855.53904,-0.066533237695694,-47.9716758728027,
1709507855.60059,-0.066844120621681,-47.4728660583496,
1709507855.65674,-0.067212760448456,-46.9741325378418,
1709507855.72403,-0.067674644291401,-46.4750175476074,
1709507855.78493,-0.068096578121185,-45.9756851196289,
1709507855.85119,-0.068412870168686,-45.4766654968262,
1709507855.91031,-0.068754315376282,-44.9778747558594,
1709507855.97159,-0.069209352135658,-44.4788475036621,
1709507856.03373,-0.069661386311054,-43.9794845581055,
1709507856.08897,-0.069998860359192,-43.4802131652832,
1709507856.1605,-0.070318073034286,-42.9812660217285,
1709507856.2232,-0.070752568542957,-42.482349395752,
1709507856.28768,-0.071228735148907,-41.9832077026367,
1709507856.34744,-0.07159298658371,-41.4840850830078,
1709507856.40475,-0.071897394955158,-40.9851684570313,
1709507856.47333,-0.072303593158722,-40.4861602783203,
1709507856.53343,-0.072793200612068,-39.9868545532227,
1709507856.60109,-0.073195934295654,-39.4874000549316,
1709507856.66113,-0.073496907949448,-38.9881591796875,
1709507856.72561,-0.073870874941349,-38.4891471862793,
1709507856.79216,-0.074362307786942,-37.9900856018066,
1709507856.85872,-0.074803553521633,-37.4907417297363,
1709507856.92254,-0.075119197368622,-36.9912986755371,
1709507856.99008,-0.075457409024239,-36.4920921325684,
1709507857.05602,-0.075932867825031,-35.9930763244629,
1709507857.11438,-0.076411738991737,-35.4940452575684,
1709507857.19067,-0.076752260327339,-34.9949951171875,
1709507857.25644,-0.077066510915756,-34.4959182739258,
1709507857.31671,-0.077519051730633,-33.9967384338379,
1709507857.3718,-0.078028708696365,-33.4975166320801,
1709507857.44219,-0.078404821455479,-32.9984855651855,
1709507857.50614,-0.078702308237553,-32.499584197998,
1709507857.56202,-0.079117588698864,-32.0004730224609,
1709507857.62362,-0.079641945660114,-31.5010471343994,
1709507857.69308,-0.080063633620739,-31.0015563964844,
1709507857.75909,-0.08035946637392,-30.502269744873,
1709507857.82119,-0.080736495554447,-30.0031833648682,
1709507857.88121,-0.081259965896606,-29.504056930542,
1709507857.94919,-0.081727713346481,-29.0048446655273,
1709507858.0215,-0.082037352025509,-28.5056686401367,
1709507858.08552,-0.082372158765793,-28.0064792633057,
1709507858.15699,-0.082878731191158,-27.5071392059326,
1709507858.22018,-0.083391942083836,-27.0076694488525,
1709507858.28501,-0.083734586834908,-26.508207321167,
1709507858.34299,-0.084037825465202,-26.0088882446289,
