Time,X Position,Y Position,Total Track Time
1.70971829084307E+018,2.32282836805098E-05,0.001037741079926,16.5 S
1.70971829091939E+018,2.3535967557109E-05,0.001059804111719,
1.70971829098993E+018,2.38494376390008E-05,0.001083120703697,
1.70971829105563E+018,2.41668567468878E-05,0.001107789576054,
1.70971829113246E+018,2.44891052716412E-05,0.001133926212788,
1.70971829120861E+018,2.4816295990604E-05,0.001161633059382,
1.70971829133317E+018,2.51484270847868E-05,0.001191010698676,
1.70971829139928E+018,2.54856822721194E-05,0.001222161576152,
1.70971829147743E+018,2.58275504165795E-05,0.001255199313164,
1.70971829155255E+018,2.61740588030079E-05,0.001290246844292,
1.70971829161114E+018,2.65841026703129E-05,0.001327317208052,
1.70971829166996E+018,2.69361735263374E-05,0.001367861405015,
1.70971829178526E+018,2.72923807642655E-05,0.001411205157638,
1.70971829186418E+018,2.76539212791249E-05,0.001457195729017,
1.70971829194301E+018,2.80918502539862E-05,0.001505671069026,
1.70971829201998E+018,2.84586640191264E-05,0.001558063551784,
1.70971829209828E+018,2.88308037852403E-05,0.00161393173039,
1.7097182921646E+018,2.9207585612312E-05,0.001673074439168,
1.70971829223391E+018,2.9622606234625E-05,0.0017293933779,
1.70971829229802E+018,3.01506388495909E-05,0.001765677705407,
1.70971829236708E+018,8.23243499326054E-06,0.000433320179582,
1.70971829243736E+018,-0.000170233470271,0.006558818742633,
1.70971829250762E+018,-0.000585844740272,0.014460795558989,
1.709718292574E+018,-0.00184340949636,0.022033432498574,
1.70971829264422E+018,-0.005215564277023,0.039966981858015,
1.7097182927196E+018,-0.01025590673089,0.073113068938255,
1.70971829278267E+018,-0.016251629218459,0.110885553061962,
1.70971829287108E+018,-0.023902224376798,0.147595882415771,
1.70971829293452E+018,-0.03199652954936,0.185381218791008,
1.70971829299608E+018,-0.04099215567112,0.225258454680443,
1.70971829305828E+018,-0.051086448132992,0.26850751042366,
1.70971829311805E+018,-0.062724411487579,0.316903740167618,
1.70971829317729E+018,-0.076543793082237,0.371828824281692,
1.7097182932409E+018,-0.092492662370205,0.4326511323452,
1.70971829332483E+018,-0.110467046499252,0.498447239398956,
1.70971829338675E+018,-0.130727261304855,0.568867206573486,
1.70971829345425E+018,-0.153755217790604,0.643562734127045,
1.70971829352797E+018,-0.180216431617737,0.722667992115021,
1.70971829358987E+018,-0.208729311823845,0.807988584041595,
1.70971829364894E+018,-0.239956438541412,0.898869276046753,
1.70971829370765E+018,-0.274593144655228,0.9946608543396,
1.70971829376742E+018,-0.313544392585754,1.09486651420593,
1.70971829382691E+018,-0.357888579368591,1.19974160194397,
1.70971829389816E+018,-0.407994449138641,1.31069087982178,
1.70971829395725E+018,-0.462431132793427,1.42838311195374,
1.70971829401576E+018,-0.520245015621185,1.55093824863434,
1.70971829407685E+018,-0.582406401634216,1.67756617069244,
1.70971829413946E+018,-0.65031898021698,1.80752813816071,
1.70971829420257E+018,-0.725159406661987,1.94085144996643,
1.70971829426555E+018,-0.807574152946472,2.0777575969696,
1.70971829432543E+018,-0.897925138473511,2.22011303901672,
1.70971829438413E+018,-0.99400806427002,2.36753940582275,
1.70971829444602E+018,-1.09672141075134,2.51778244972229,
1.70971829452299E+018,-1.20593452453613,2.66963863372803,
1.70971829458564E+018,-1.32284271717072,2.82230353355408,
1.70971829464371E+018,-1.44692611694336,2.97608971595764,
1.70971829470258E+018,-1.5802264213562,3.13103151321411,
1.70971829476389E+018,-1.72473394870758,3.28746175765991,
1.70971829482347E+018,-1.87903869152069,3.4438648223877,
1.70971829489055E+018,-2.04220700263977,3.59835982322693,
1.70971829495848E+018,-2.21349787712097,3.74902820587158,
1.70971829503383E+018,-2.39247298240662,3.89453101158142,
1.70971829511637E+018,-2.58092498779297,4.03546142578125,
1.70971829518279E+018,-2.78270936012268,4.17353487014771,
1.70971829524696E+018,-2.99828505516052,4.30930471420288,
1.70971829531082E+018,-3.22406053543091,4.43877935409546,
1.7097182953735E+018,-3.45471215248108,4.55826616287231,
1.70971829543131E+018,-3.68954086303711,4.66725969314575,
1.70971829549707E+018,-3.93275713920593,4.76741027832031,
1.70971829555835E+018,-4.18839645385742,4.85971784591675,
1.70971829562095E+018,-4.4573826789856,4.94323587417603,
1.70971829568249E+018,-4.7374906539917,5.01696443557739,
1.70971829574904E+018,-5.02390909194946,5.07701301574707,
1.70971829580853E+018,-5.31318807601929,5.12313270568848,
1.70971829586619E+018,-5.60539865493774,5.15511131286621,
1.70971829592631E+018,-5.90353441238403,5.17283439636231,
1.7097182959861E+018,-6.20775413513184,5.17560386657715,
1.70971829604677E+018,-6.51311874389648,5.16295766830444,
1.70971829610333E+018,-6.81518030166626,5.135338306427,
1.70971829616198E+018,-7.11487340927124,5.09277629852295,
1.70971829624622E+018,-7.41505146026611,5.03475856781006,
1.70971829630344E+018,-7.71311473846436,4.96100091934204,
1.70971829635679E+018,-8.00358772277832,4.87280750274658,
1.70971829641123E+018,-8.28547859191895,4.77149057388306,
1.7097182964686E+018,-8.56182098388672,4.65657758712769,
1.70971829652624E+018,-8.83380603790283,4.52779293060303,
1.70971829658233E+018,-9.09970760345459,4.38592576980591,
1.7097182966404E+018,-9.35826683044434,4.23122930526733,
1.70971829670105E+018,-9.60952663421631,4.0632472038269,
1.70971829675675E+018,-9.8527946472168,3.88209319114685,
1.70971829681125E+018,-10.0867204666138,3.68895173072815,
1.70971829686786E+018,-10.3102560043335,3.48477458953857,
1.70971829692857E+018,-10.5232019424438,3.26992464065552,
1.70971829698466E+018,-10.7253141403198,3.04462933540344,
